top	enrichment	err	sample	rank
2750.0	0.4534242424242422	0.030504441353042384	K562	SPP
3000.0	0.4483131313131312	0.03029015747330656	K562	SPP
60.0	0.13333333333333325	0.015707069049972038	K562	C-score Shuffled
260.0	0.13204040404040393	0.01541397363492908	K562	C-score Shuffled
510.0	0.13493939393939391	0.015711745945761583	K562	C-score Shuffled
760.0	0.13556565656565653	0.015939803542226696	K562	C-score Shuffled
1010.0	0.13663636363636358	0.016052033861270524	K562	C-score Shuffled
1260.0	0.13707070707070707	0.016064471815000966	K562	C-score Shuffled
1510.0	0.13744444444444442	0.016052533206646517	K562	C-score Shuffled
1760.0	0.13797979797979806	0.015997783678426313	K562	C-score Shuffled
2010.0	0.13805050505050503	0.015909235274022444	K562	C-score Shuffled
2260.0	0.138020202020202	0.015832534106039995	K562	C-score Shuffled
2510.0	0.137989898989899	0.015742539829596582	K562	C-score Shuffled
2760.0	0.13775757575757572	0.015578616044505013	K562	C-score Shuffled
3010.0	0.13681818181818187	0.015351776730429116	K562	C-score Shuffled
50.0	0.13232323232323226	0.016469976233970802	K562	SPP Shuffled
250.0	0.13919191919191912	0.01605021801739887	K562	SPP Shuffled
500.0	0.14019191919191915	0.01603618021265524	K562	SPP Shuffled
750.0	0.14077777777777778	0.016019182710408572	K562	SPP Shuffled
1000.0	0.14095959595959595	0.01589988078139223	K562	SPP Shuffled
1250.0	0.14063636363636364	0.01575623715830907	K562	SPP Shuffled
1500.0	0.14030303030303032	0.01571054956599302	K562	SPP Shuffled
1750.0	0.13963636363636364	0.015627224753067343	K562	SPP Shuffled
2000.0	0.13907070707070707	0.015584339091790259	K562	SPP Shuffled
2250.0	0.13823232323232318	0.015525866516327976	K562	SPP Shuffled
2500.0	0.13778787878787882	0.015455572497916653	K562	SPP Shuffled
2750.0	0.13755555555555554	0.015424791251821867	K562	SPP Shuffled
3000.0	0.13681818181818187	0.015351776730429116	K562	SPP Shuffled
